gameId,id,eventId,manager,competition,minute,second,teamId,playerId,x,y,endX,endY,type,outcome,recipient,xThreat,endLoss,prog,len,yLen,xLen,angle,D2G,D2GEnd,dist,zone,endZone,cross,playerName,recipientName
29,2497211609,2,C. Corberan,l,0,0.0,175,,0.0,0.0,,,Start,Successful,,0.0,0.0,n,,,,,126.49110640673516,0.0,126.49110640673516,1,0,n,,
29,2497211613,2,C. Corberan,l,0,0.0,95,,0.0,0.0,,,Start,Successful,19.0,0.0,0.0,n,,,,,126.49110640673516,0.0,126.49110640673516,1,0,n,,J. Swift
29,2497211637,3,C. Corberan,l,0,0.0,175,19.0,50.0,50.0,37.3,52.2,Pass,Successful,35.0,0.0,0.0,n,-15.34129068885666,1.7600000000000051,-15.240000000000002,353.4123474568638,60.0,75.2605819802106,-15.260581980210604,18,13,n,J. Swift,O. Yokuşlu
29,2497211663,4,C. Corberan,l,0,2.0,175,35.0,37.3,52.10000000000001,35.4,29.2,Pass,Successful,2.0,0.0,0.0,n,-18.461332562954397,-18.320000000000007,-2.280000000000001,82.90577955219769,75.25875364367923,79.28581209775177,-4.027058454072545,13,12,n,O. Yokuşlu,D. Furlong
29,2497211741,5,C. Corberan,l,0,5.0,175,2.0,35.4,29.2,28.7,37.8,Pass,Successful,4.0,0.0,0.0,n,-10.581871290088534,6.879999999999999,-8.04,319.4456883534957,79.28581209775177,86.11487211858356,-6.82906002083179,12,8,n,D. Furlong,D. O'Shea
29,2497213191,21,C. Corberan,l,0,9.0,175,4.0,31.6,38.4,,,TakeOn,Successful,362145.0,0.0,0.0,n,,,,,82.6029345725683,0.0,82.6029345725683,8,0,n,D. O'Shea,362145.0
29,2497226547,68,C. Corberan,l,0,9.0,95,362145.0,68.4,61.6,,,Challenge,Unsuccessful,4.0,0.0,0.0,n,,,,,39.03901638105141,0.0,39.03901638105141,23,0,n,362145.0,D. O'Shea
29,2497211821,6,C. Corberan,l,0,10.0,175,4.0,32.9,35.8,45.7,6.000000000000001,Pass,Successful,14.0,0.002,0.0,n,28.359746120161237,-23.84,15.360000000000008,122.79349314644143,81.31740281145237,74.05987847681091,7.2575243346414595,12,11,n,D. O'Shea,J. Molumby
29,2497211855,7,C. Corberan,l,0,15.0,175,14.0,54.49999999999999,5.0,42.7,6.8,Pass,Successful,2.0,0.0,0.0,n,-14.233032003055415,1.4400000000000004,-14.15999999999999,354.1932730944684,65.4,76.95668392024177,-11.556683920241769,16,11,n,J. Molumby,D. Furlong
29,2497211893,8,C. Corberan,l,0,17.0,175,2.0,42.7,7.5,37.6,25.0,Pass,Successful,4.0,0.001,0.0,n,-15.27921463950291,14.0,-6.1200000000000045,293.61220016273705,76.70682890069175,77.50493145600478,-0.7981025553130365,11,12,n,D. Furlong,D. O'Shea
29,2497211949,9,C. Corberan,l,0,21.0,175,4.0,46.8,42.99999999999999,55.7,58.900000000000006,Pass,Successful,3.0,0.0029999999999999,0.0,n,16.609057769783337,12.720000000000006,10.680000000000009,229.9824195903758,64.08514336412145,53.63469026665484,10.450453097466609,13,18,n,D. O'Shea,C. Townsend
