gameId,id,eventId,manager,competition,minute,second,teamId,playerId,playerName,x,y,endX,endY,type,outcome,recipient,recipientName,xThreat,endLoss,prog,len,yLen,xLen,angle,D2G,D2GEnd,dist,zone,endZone,cross
9,2597134347,2,C. Corberan,l,0,0.0,175,,,0.0,0.0,,,Start,Successful,,,0.0,0.0,n,,,,,126.49110640673517,0.0,126.49110640673517,1,0,n
9,2597134369,2,C. Corberan,l,0,0.0,181,,,0.0,0.0,,,Start,Successful,288988.0,288988.0,0.0,0.0,n,,,,,126.49110640673517,0.0,126.49110640673517,1,0,n
9,2597134435,3,C. Corberan,l,0,0.0,181,288988.0,288988.0,50.0,50.0,29.399999999999995,46.0,Pass,Successful,134540.0,134540.0,0.0,0.0,n,-24.926259246024067,-3.1999999999999957,-24.720000000000006,7.375911868893837,60.0,84.78041283221025,-24.780412832210246,18,8,n
9,2597134597,4,C. Corberan,l,0,4.0,181,134540.0,134540.0,29.399999999999995,46.0,74.3,3.8,Pass,Successful,362138.0,362138.0,0.020999999999999998,0.0,y,63.58295369043499,-33.760000000000005,53.88,147.9296642822825,84.78041283221025,48.136755187694156,36.64365764451609,8,21,n
9,2597134605,5,C. Corberan,l,0,7.0,181,362138.0,362138.0,76.3,6.8,,,Aerial,Successful,10.0,M. Phillips,0.0,0.0,n,,,,,44.7574261994588,0.0,44.7574261994588,21,0,n
9,2597134981,7,C. Corberan,l,0,7.0,175,10.0,M. Phillips,23.7,93.2,,,Aerial,Unsuccessful,362138.0,362138.0,0.0,0.0,n,,,,,97.86535239807804,0.0,97.86535239807804,10,0,n
9,2597134639,6,C. Corberan,l,0,7.0,181,362138.0,362138.0,74.2,3.7,80.3,22.399999999999995,Pass,Unsuccessful,35.0,O. Yokuşlu,0.023000000000000003,-0.004,y,16.65484914371787,14.959999999999997,7.319999999999993,243.92727423105435,48.2750784566944,32.34773562399693,15.92734283269747,21,21,n
9,2597134729,3,C. Corberan,l,0,9.0,175,35.0,O. Yokuşlu,24.4,71.7,35.6,83.2,Pass,Successful,19.0,J. Swift,0.002,0.0,n,16.287221985347898,9.199999999999996,13.440000000000001,214.3925691272252,92.36605437063986,81.71677918273579,10.649275187904067,9,15,n
9,2597134749,4,C. Corberan,l,0,11.0,175,19.0,J. Swift,35.6,83.2,,,BallTouch,Unsuccessful,397014.0,397014.0,0.0,0.0,n,,,,,81.71677918273579,0.0,81.71677918273579,15,0,n
9,2597134797,7,C. Corberan,l,0,12.0,181,397014.0,397014.0,67.2,6.5,,,BallRecovery,Successful,397014.0,397014.0,0.0,0.0,n,,,,,52.53807761995103,0.0,52.53807761995103,16,0,n
9,2597134821,8,C. Corberan,l,0,12.0,181,397014.0,397014.0,67.0,6.5,71.8,5.3,Pass,Unsuccessful,27.0,A. Mowatt,0.006999999999999999,-0.004,n,5.839452029086296,-0.96,5.760000000000005,170.53767779197437,52.718118327573116,49.23335454750164,3.484763780071475,16,21,n
9,2597134875,5,C. Corberan,l,0,12.0,175,27.0,A. Mowatt,30.199999999999996,93.49999999999999,,,BlockedPass,Successful,134643.0,134643.0,0.0,0.0,n,,,,,90.70158543267037,0.0,90.70158543267037,10,0,n
9,2597135553,10,C. Corberan,l,0,24.0,181,134643.0,134643.0,73.0,0.0,90.9,6.8,Pass,Successful,422766.0,422766.0,0.037000000000000005,0.0,y,22.158158768273147,5.44,21.480000000000004,194.21184294290384,51.47581956608365,36.244171945293495,15.231647620790156,21,26,n
9,2597136117,13,C. Corberan,l,0,29.0,181,422766.0,422766.0,97.3,6.8,,,Dispossessed,Successful,15.0,E. Pieters,0.0,0.0,n,,,,,34.71154274877451,0.0,34.71154274877451,26,0,n
9,2597135559,8,C. Corberan,l,0,29.0,175,15.0,E. Pieters,2.7,93.2,,,Tackle,Unsuccessful,422766.0,422766.0,0.0,0.0,n,,,,,121.76736508605252,0.0,121.76736508605252,5,0,n
9,2597135611,11,C. Corberan,l,0,31.0,181,422766.0,422766.0,96.6,7.1,,,BallTouch,Successful,24.0,A. Palmer,0.0,0.0,n,,,,,34.56166662648085,0.0,34.56166662648085,26,0,n
9,2597137185,10,C. Corberan,l,1,6.0,175,24.0,A. Palmer,5.0,41.5,69.5,15.5,Pass,Unsuccessful,134540.0,134540.0,0.026,-0.004,y,80.14611656218908,-20.800000000000004,77.39999999999999,164.95806224616672,114.20262694001394,45.84015706779374,68.3624698722202,3,21,n
9,2597137175,14,C. Corberan,l,1,10.0,181,134540.0,134540.0,33.0,75.5,,,Aerial,Successful,11.0,G. Diangana,0.0,0.0,n,,,,,82.9476943621702,0.0,82.9476943621702,14,0,n
9,2597137233,11,C. Corberan,l,1,10.0,175,11.0,G. Diangana,67.0,24.5,,,Aerial,Unsuccessful,134540.0,134540.0,0.0,0.0,n,,,,,44.54570686384941,0.0,44.54570686384941,17,0,n
9,2597137283,15,C. Corberan,l,1,10.0,181,134540.0,134540.0,35.5,66.5,45.9,79.5,Pass,Unsuccessful,2.0,D. Furlong,0.002999999999999999,-0.013,n,16.245319325885838,10.399999999999999,12.479999999999997,219.80557109226518,78.5175139698144,69.07652567985741,9.44098828995699,14,15,n
9,2597137319,12,C. Corberan,l,1,13.0,175,2.0,D. Furlong,53.599999999999994,12.800000000000002,,,Aerial,Successful,288988.0,288988.0,0.0,0.0,n,,,,,63.134142902236356,0.0,63.134142902236356,16,0,n
9,2597137455,16,C. Corberan,l,1,13.0,181,288988.0,288988.0,46.4,87.2,,,Aerial,Unsuccessful,288988.0,288988.0,0.0,0.0,n,,,,,70.87115068912031,0.0,70.87115068912031,15,0,n
9,2597140071,21,C. Corberan,l,1,13.0,181,288988.0,288988.0,53.0,96.3,,,BallRecovery,Successful,2.0,D. Furlong,0.0,0.0,n,,,,,67.47534068087394,0.0,67.47534068087394,20,0,n
9,2597171121,130,C. Corberan,l,1,14.0,175,2.0,D. Furlong,51.8,15.8,53.2,15.9,Pass,Unsuccessful,288988.0,288988.0,0.0,-0.008,n,1.681903683330298,0.08000000000000007,1.6800000000000068,182.72631099390634,63.98464815875759,62.43511832294386,1.549529835813729,16,16,n
9,2597137497,17,C. Corberan,l,1,14.0,181,288988.0,288988.0,51.4,94.7,81.5,83.7,Pass,Unsuccessful,4.0,C. Kipré,0.046,-0.004,y,37.176530230778674,-8.799999999999997,36.120000000000005,166.30764669504356,68.41052550594829,34.92394021298285,33.48658529296544,20,25,n
9,2597137399,13,C. Corberan,l,1,16.0,175,4.0,C. Kipré,18.7,9.5,,,BallRecovery,Successful,4.0,C. Kipré,0.0,0.0,n,,,,,102.79938521216944,0.0,102.79938521216944,6,0,n
9,2597137547,14,C. Corberan,l,1,16.0,175,4.0,C. Kipré,18.7,9.5,6.699999999999999,36.4,Pass,Successful,24.0,A. Palmer,0.002,0.0,n,-25.893443185486166,21.52,-14.399999999999999,303.78826071093056,102.79938521216944,112.48740373926319,-9.688018527093746,6,2,n
9,2597137697,15,C. Corberan,l,1,18.0,175,24.0,A. Palmer,6.699999999999999,36.4,79.1,54.0,Pass,Unsuccessful,136466.0,136466.0,0.046,-0.005,y,88.01352623318759,14.080000000000002,86.88,189.2054689697091,112.48740373926319,25.28332256646663,87.20408117279655,2,23,n
9,2597144085,26,C. Corberan,l,1,22.0,181,136466.0,136466.0,23.5,49.60000000000001,,,BallRecovery,Successful,136466.0,136466.0,0.0,0.0,n,,,,,91.80055773251054,0.0,91.80055773251054,8,0,n
9,2597137889,18,C. Corberan,l,1,23.0,181,136466.0,136466.0,22.0,39.4,84.4,46.3,Pass,Unsuccessful,24.0,A. Palmer,0.111,-0.007,y,75.08318586740975,5.52,74.88,184.216101135381,93.98335171720575,18.95257238477141,75.03077933243434,8,23,n
9,2597137975,16,C. Corberan,l,1,28.0,175,24.0,A. Palmer,13.600000000000001,49.9,,,KeeperPickup,Successful,24.0,A. Palmer,0.0,0.0,n,,,,,103.68003086419294,0.0,103.68003086419294,3,0,n
9,2597138293,17,C. Corberan,l,1,29.0,175,24.0,A. Palmer,13.799999999999999,48.1,21.2,19.7,Pass,Successful,2.0,D. Furlong,0.0,0.0,n,24.39370410577287,-22.720000000000006,8.879999999999999,111.34779829783245,103.45116722396128,97.61747384561845,5.833693378342829,3,6,n
9,2597138373,18,C. Corberan,l,1,36.0,175,2.0,D. Furlong,36.5,4.3,25.1,27.9,Pass,Successful,4.0,C. Kipré,0.0,0.0,n,-23.315162448501187,18.88,-13.679999999999996,305.92619527216317,84.51670604087691,91.60238424844628,-7.085678207569373,11,7,n
9,2597138725,19,C. Corberan,l,1,38.0,175,4.0,C. Kipré,24.0,30.4,21.4,54.3,Pass,Successful,5.0,K. Bartley,0.0,0.0,n,-19.372888272015608,19.119999999999997,-3.120000000000001,279.2678362628211,92.53811322909064,94.3827102810679,-1.84459705197726,7,8,n
9,2597138847,20,C. Corberan,l,1,46.0,175,5.0,K. Bartley,26.2,59.7,35.9,95.29999999999998,Pass,Successful,15.0,E. Pieters,0.001,0.0,n,30.766865293688916,28.47999999999999,11.64,247.769779310831,88.89933183100985,85.02954780545407,3.8697840255557736,8,15,n
9,2597139131,21,C. Corberan,l,1,49.0,175,15.0,E. Pieters,41.1,98.0,87.8,96.9,Pass,Successful,10.0,M. Phillips,0.053,0.0,y,56.046908924578524,-0.8799999999999955,56.04,179.10035434928807,80.43769265711195,40.27505431405402,40.162638343057935,15,30,n
9,2597139169,22,C. Corberan,l,1,55.0,175,10.0,M. Phillips,88.6,96.5,,,TakeOn,Unsuccessful,134643.0,134643.0,0.0,0.0,n,,,,,39.6356203433225,0.0,39.6356203433225,30,0,n
9,2597139189,19,C. Corberan,l,1,55.0,181,134643.0,134643.0,11.4,3.5,,,Tackle,Successful,134643.0,134643.0,0.0,0.0,n,,,,,112.64005681816748,0.0,112.64005681816748,1,0,n
9,2597139221,20,C. Corberan,l,1,56.0,181,134643.0,134643.0,5.2,4.0,,,CornerAwarded,Unsuccessful,10.0,M. Phillips,0.0,0.0,n,,,,,119.56411501784305,0.0,119.56411501784305,1,0,n
9,2597139207,23,C. Corberan,l,1,56.0,175,10.0,M. Phillips,94.8,96.00000000000001,,,CornerAwarded,Successful,19.0,J. Swift,0.0,0.0,n,,,,,37.325294372583336,0.0,37.325294372583336,30,0,n
9,2597141009,24,C. Corberan,l,2,33.0,175,19.0,J. Swift,99.5,99.5,96.4,40.3,Pass,Successful,4.0,C. Kipré,0.092,0.0,y,-47.50587332109579,-47.36000000000001,-3.7199999999999847,85.50879265964335,39.60454519370221,8.881441324469803,30.723103869232403,30,28,y
