gameId,id,eventId,manager,competition,minute,second,teamId,playerId,x,y,endX,endY,type,outcome,recipient,xThreat,endLoss,prog,len,yLen,xLen,angle,D2G,D2GEnd,dist,zone,endZone,cross,playerName,recipientName
32,2503398015,2,C. Corberan,l,0,0.0,17,,0.0,0.0,,,Start,Successful,,0.0,0.0,n,,,,,126.49110640673516,0.0,126.49110640673516,1,0,n,,
32,2503397981,2,C. Corberan,l,0,0.0,175,,0.0,0.0,,,Start,Successful,17.0,0.0,0.0,n,,,,,126.49110640673516,0.0,126.49110640673516,1,0,n,,J. Wallace
32,2503398087,3,C. Corberan,l,0,0.0,175,17.0,49.8,49.7,37.5,51.8,Pass,Successful,35.0,0.0,0.0,n,-14.855302083767928,1.6799999999999926,-14.759999999999993,353.5064746874607,60.24047808575229,75.01382272621493,-14.77334464046264,13,13,n,J. Wallace,O. Yokuşlu
32,2503398129,4,C. Corberan,l,0,3.0,175,35.0,37.3,51.5,36.6,18.6,Pass,Successful,2.0,0.0,0.0,n,-26.33340084379532,-26.32,-0.8399999999999963,88.172031755695,75.24956876952851,80.11979031425382,-4.870221544725311,13,11,n,O. Yokuşlu,D. Furlong
32,2503398171,5,C. Corberan,l,0,9.0,175,2.0,48.0,19.2,32.6,35.4,Pass,Successful,4.0,0.0,0.0,n,-22.571486437538844,12.96,-18.48,324.9580705984609,67.08866968423207,81.71901125197245,-14.630341567740372,11,12,n,D. Furlong,D. O'Shea
32,2503398227,6,C. Corberan,l,0,13.0,175,4.0,30.6,43.1,54.49999999999999,91.5,Pass,Successful,3.0,0.0059999999999999,0.0,y,48.18486069296039,38.72,28.68,233.47256018246392,83.46273899172013,63.90148668067122,19.56125231104891,8,20,n,D. O'Shea,C. Townsend
32,2503398263,7,C. Corberan,l,0,16.0,175,3.0,56.1,94.7,84.5,81.8,Pass,Unsuccessful,412794.0,0.057,-0.004,y,35.60826870264827,-10.320000000000007,34.08,163.15280056353288,63.67071540355112,31.514339593270872,32.15637581028024,20,25,n,C. Townsend,412794.0
32,2503398287,3,C. Corberan,l,0,19.0,17,412794.0,14.400000000000002,17.0,16.2,0.0,Clearance,Successful,3.0,0.0,0.0,n,13.770461139700442,-13.6,2.1599999999999966,99.02454062622272,106.05827831904494,108.22344293174191,-2.165164612696984,1,6,n,412794.0,C. Townsend
32,2503398481,9,C. Corberan,l,0,33.0,175,3.0,77.6,100.0,78.0,87.7,Pass,Successful,11.0,0.042,0.0,n,9.851700360851408,-9.83999999999999,0.480000000000004,92.79270236571332,48.19267994208249,40.08223546660042,8.110444475482069,25,25,n,C. Townsend,G. Diangana
32,2503398501,10,C. Corberan,l,0,35.0,175,11.0,78.1,87.7,88.8,94.2,Pass,Successful,3.0,0.0179999999999999,0.0,n,13.85299967516061,5.199999999999989,12.840000000000003,202.04718075969964,40.00329986388625,37.82807423065573,2.175225633230518,25,30,n,G. Diangana,C. Townsend
32,2503398511,11,C. Corberan,l,0,36.0,175,3.0,88.3,94.8,92.7,68.8,Pass,Unsuccessful,412794.0,0.0289999999999999,-0.005,y,21.45969244886795,-20.800000000000004,5.280000000000001,104.24346057354782,38.49191083851255,17.405148663542064,21.086762174970488,30,29,n,C. Townsend,412794.0
32,2503398537,5,C. Corberan,l,0,37.0,17,412794.0,8.0,27.2,22.9,10.6,Clearance,Successful,134478.0,0.0,0.0,n,22.272242814768337,-13.28,17.879999999999995,143.39764535704967,111.89663801920057,97.7418068177584,14.154831201442178,2,6,n,412794.0,134478.0
32,2503398625,6,C. Corberan,l,0,41.0,17,134478.0,22.9,10.6,15.0,13.0,Pass,Successful,431573.0,0.0,0.0,n,-9.672476415065583,1.92,-9.479999999999997,348.5506620114999,97.7418068177584,106.20809761972012,-8.466290801961733,6,6,n,134478.0,431573.0
32,2503398627,7,C. Corberan,l,0,42.0,17,431573.0,15.0,13.0,,,BallRecovery,Successful,431573.0,0.0,0.0,n,,,,,106.20809761972012,0.0,106.20809761972012,6,0,n,431573.0,431573.0
32,2503398673,8,C. Corberan,l,0,42.0,17,431573.0,15.0,13.0,57.7,7.0,Pass,Unsuccessful,4.0,0.01,-0.007,y,51.46433328043801,-4.8,51.24,174.64833164456593,106.20809761972012,61.31833004901552,44.8897675707046,6,16,n,431573.0,D. O'Shea
32,2503398737,12,C. Corberan,l,0,46.0,175,4.0,40.6,81.4,45.2,81.6,Pass,Successful,15.0,0.0019999999999999,0.0,n,5.522318353735144,0.1599999999999966,5.520000000000003,181.66028236898245,75.57680067322246,70.45179912535946,5.125001547863008,15,15,n,D. O'Shea,E. Pieters
32,2503445289,454,C. Corberan,l,0,47.0,175,15.0,45.8,80.0,,,BallTouch,Successful,299034.0,0.0,0.0,n,,,,,69.32677404870358,0.0,69.32677404870358,15,0,n,E. Pieters,299034.0
32,2503398809,9,C. Corberan,l,0,48.0,17,299034.0,39.4,19.3,,,BallTouch,Successful,431573.0,0.0,0.0,n,,,,,76.75540371856563,0.0,76.75540371856563,11,0,n,299034.0,431573.0
32,2503399727,20,C. Corberan,l,0,49.0,17,431573.0,36.0,23.9,,,BallRecovery,Successful,431573.0,0.0,0.0,n,,,,,79.58777795616612,0.0,79.58777795616612,12,0,n,431573.0,431573.0
32,2503399873,21,C. Corberan,l,0,50.0,17,431573.0,37.1,25.1,44.7,24.800000000000004,Pass,Successful,134478.0,0.004,0.0,n,9.123157348199138,-0.2399999999999984,9.119999999999996,178.49256424122535,78.06431194854662,69.35470568029253,8.709606268254092,12,12,n,431573.0,134478.0
32,2503445131,374,C. Corberan,l,0,51.0,17,134478.0,48.0,22.1,43.9,24.2,Pass,Unsuccessful,17.0,0.0,-0.012,n,-5.198922965384266,1.6799999999999962,-4.919999999999995,341.1468412355809,66.27173153011773,70.41301016147513,-4.141278631357395,11,12,n,134478.0,J. Wallace
32,2503398741,13,C. Corberan,l,0,52.0,175,17.0,58.79999999999999,81.1,,,BallTouch,Successful,17.0,0.0,0.0,n,,,,,55.347339592793446,0.0,55.347339592793446,20,0,n,J. Wallace,J. Wallace
32,2503398763,14,C. Corberan,l,0,53.0,175,17.0,57.8,79.4,,,BallRecovery,Successful,17.0,0.0,0.0,n,,,,,55.83547259583284,0.0,55.83547259583284,20,0,n,J. Wallace,J. Wallace
32,2503398855,15,C. Corberan,l,0,54.0,175,17.0,46.4,73.5,40.7,39.7,Pass,Successful,2.0,0.0,0.0,n,-27.891704860047543,-27.04,-6.839999999999996,75.80432520926293,67.011211002339,71.63548841182002,-4.624277409481024,14,13,n,J. Wallace,D. Furlong
32,2503398875,16,C. Corberan,l,1,0.0,175,2.0,53.2,17.6,53.0,30.700000000000003,Pass,Successful,14.0,0.0,0.0,n,-10.482747731391804,10.48,-0.2400000000000091,271.3118877825042,61.85298699335384,58.47523920429912,3.377747789054723,16,17,n,D. Furlong,J. Molumby
32,2503398887,17,C. Corberan,l,1,1.0,175,14.0,53.0,30.9,44.1,20.0,Pass,Successful,2.0,0.0,0.0,n,-13.787704667565222,-8.719999999999999,-10.679999999999993,39.230929867584166,58.43319604471418,71.244132389973,-12.810936345258824,17,11,n,J. Molumby,D. Furlong
32,2503398971,18,C. Corberan,l,1,2.0,175,2.0,44.1,20.0,23.8,32.5,Pass,Successful,4.0,0.0,0.0,n,-26.33267172164648,10.0,-24.360000000000003,337.6814071150422,71.244132389973,92.50553280750292,-21.261400417529927,11,7,n,D. Furlong,D. O'Shea
32,2503399019,19,C. Corberan,l,1,7.0,175,4.0,22.1,33.4,26.4,47.9,Pass,Successful,35.0,0.0,0.0,n,12.695889098444423,11.6,5.159999999999997,246.01918224181384,94.4185829167119,88.3359768157912,6.0826061009207,7,8,n,D. O'Shea,O. Yokuşlu
32,2503399085,20,C. Corberan,l,1,11.0,175,35.0,33.7,41.3,46.6,8.5,Pass,Successful,14.0,0.004,0.0,n,30.46584973375927,-26.24,15.479999999999997,120.53801324792768,79.86385415192532,72.16984411788624,7.694010034039081,13,11,n,O. Yokuşlu,J. Molumby
32,2503399125,21,C. Corberan,l,1,16.0,175,14.0,55.2,6.5,55.5,26.1,Pass,Successful,35.0,0.002,0.0,n,15.684132108599446,15.680000000000003,0.3599999999999994,268.68476673902524,64.04043722524074,56.7197884340201,7.320648791220634,16,17,n,J. Molumby,O. Yokuşlu
32,2503399249,22,C. Corberan,l,1,20.0,175,35.0,56.900000000000006,26.4,44.0,59.1,Pass,Successful,15.0,0.0,0.0,n,-30.39697353356087,26.16,-15.480000000000004,300.61463288034935,55.05826731745197,67.59318308823754,-12.534915770785569,17,13,n,O. Yokuşlu,E. Pieters
32,2503399305,23,C. Corberan,l,1,27.0,175,15.0,42.2,73.2,59.20000000000001,93.5,Pass,Successful,11.0,0.0059999999999999,0.0,n,26.0748461165162,16.239999999999995,20.40000000000001,218.522540238058,71.80030083502436,60.06764187147685,11.732658963547507,14,20,n,E. Pieters,G. Diangana
32,2503399309,24,C. Corberan,l,1,29.0,175,11.0,59.20000000000001,93.5,76.8,94.4,Pass,Unsuccessful,412794.0,0.024,-0.004,y,21.132269163532808,0.7200000000000131,21.11999999999999,181.9525090493996,60.06764187147685,45.13021161040574,14.937430261071114,20,25,n,G. Diangana,412794.0
32,2503399377,10,C. Corberan,l,1,30.0,17,412794.0,15.4,5.0,16.0,0.0,Clearance,Successful,3.0,0.0,0.0,n,4.064283454681772,-4.0,0.7199999999999989,100.20397372173169,107.71402137140734,108.44648449811548,-0.7324631267081259,6,6,n,412794.0,C. Townsend
32,2503399421,26,C. Corberan,l,1,33.0,175,3.0,72.8,100.0,78.3,85.9,Pass,Successful,11.0,0.042,0.0,y,13.068986188683482,-11.279999999999989,6.599999999999994,120.33217509629996,51.62721762791406,38.76751217192046,12.859705455993598,25,25,n,C. Townsend,G. Diangana
32,2503399425,27,C. Corberan,l,1,37.0,175,11.0,79.1,90.8,,,Dispossessed,Successful,431573.0,0.0,0.0,n,,,,,41.16279873866694,0.0,41.16279873866694,25,0,n,G. Diangana,431573.0
32,2503399437,12,C. Corberan,l,1,37.0,17,431573.0,20.9,9.2,,,Tackle,Successful,431573.0,0.0,0.0,n,,,,,100.37517621404209,0.0,100.37517621404209,6,0,n,431573.0,431573.0
32,2503399447,13,C. Corberan,l,1,38.0,17,431573.0,24.9,3.2000000000000006,,,BallRecovery,Successful,431573.0,0.0,0.0,n,,,,,97.58774513226544,0.0,97.58774513226544,6,0,n,431573.0,431573.0
32,2503399463,14,C. Corberan,l,1,39.0,17,431573.0,27.0,3.8,27.8,4.9,Pass,Unsuccessful,35.0,0.0,-0.025,n,1.3023056476879775,0.8800000000000003,0.9600000000000009,222.5104470780008,95.07787124247156,93.85230950807764,1.2255617343939065,6,6,n,431573.0,O. Yokuşlu
32,2503399467,28,C. Corberan,l,1,39.0,175,35.0,70.7,88.0,,,BlockedPass,Successful,431573.0,0.0,0.0,n,,,,,46.479948364859446,0.0,46.479948364859446,25,0,n,O. Yokuşlu,431573.0
32,2503399629,16,C. Corberan,l,1,50.0,17,431573.0,30.1,0.0,16.7,15.2,Pass,Successful,412794.0,0.0,0.0,n,-20.16015872953385,12.16,-16.08,322.9027393431654,92.92929785595068,103.7644794715417,-10.835181615591026,6,6,n,431573.0,412794.0
32,2503399679,17,C. Corberan,l,1,53.0,17,412794.0,16.7,15.2,1.8000000000000005,40.3,Pass,Successful,135769.0,0.001,0.0,n,-26.88681461237088,20.08,-17.88,311.6830909002716,103.7644794715417,118.09522937019938,-14.330749898657672,6,3,n,412794.0,135769.0
32,2503399697,18,C. Corberan,l,1,58.0,17,135769.0,1.8000000000000005,40.3,19.9,0.0,Pass,Unsuccessful,3.0,0.0,-0.037,n,38.87384724978993,-32.24,21.72,123.9680414442455,118.09522937019938,104.11077946111055,13.98444990908881,3,6,n,135769.0,C. Townsend
32,2503399915,31,C. Corberan,l,2,13.0,175,3.0,76.9,100.0,81.9,84.1,Pass,Successful,11.0,0.056,0.0,y,14.064081911024266,-12.72,6.0,115.25316339457387,48.666193605006754,34.87057212034239,13.795621484664366,25,25,n,C. Townsend,G. Diangana
32,2503399929,32,C. Corberan,l,2,16.0,175,11.0,81.9,84.1,81.7,96.0,Pass,Successful,3.0,0.0,0.0,n,-9.523024729569917,9.52000000000001,-0.2399999999999948,271.4441255309358,34.87057212034239,42.85418999351173,-7.983617873169337,25,25,n,G. Diangana,C. Townsend
32,2503399951,33,C. Corberan,l,2,17.0,175,3.0,81.7,96.0,77.8,93.9,Pass,Successful,11.0,0.0,0.0,n,-4.972403845224168,-1.6800000000000068,-4.680000000000007,19.746836605426186,42.85418999351173,44.08065335268977,-1.226463359178048,25,25,n,C. Townsend,G. Diangana
32,2503399991,34,C. Corberan,l,2,18.0,175,11.0,77.6,93.5,96.2,90.5,Pass,Successful,3.0,0.055,0.0,y,22.44866143002741,-2.3999999999999915,22.320000000000007,173.86274405073806,43.97242772465492,32.719315396260974,11.253112328393946,25,30,n,G. Diangana,C. Townsend
32,2503400033,35,C. Corberan,l,2,20.0,175,3.0,96.2,90.5,92.9,46.9,Pass,Unsuccessful,135769.0,0.0839999999999999,-0.005,y,-35.10407383766164,-34.88,-3.9599999999999937,83.52282351311474,32.719315396260974,8.873601298232861,23.84571409802811,30,28,y,C. Townsend,135769.0
32,2503400075,22,C. Corberan,l,2,26.0,17,135769.0,7.9,54.0,,,Claim,Unsuccessful,14.0,0.0,0.0,n,,,,,110.56631675153152,0.0,110.56631675153152,3,0,n,135769.0,J. Molumby
32,2503400101,36,C. Corberan,l,2,27.0,175,14.0,84.7,32.2,,,SavedShot,Successful,82971.0,0.0,0.0,n,,,,,23.23504250049911,0.0,23.23504250049911,22,0,n,J. Molumby,82971.0
32,2503400105,23,C. Corberan,l,2,27.0,17,82971.0,9.7,61.0,,,Save,Successful,315544.0,0.0,0.0,n,,,,,108.71674020131398,0.0,108.71674020131398,3,0,n,82971.0,315544.0
32,2503446537,375,C. Corberan,l,2,28.0,17,315544.0,12.4,70.2,,,BallTouch,Successful,82971.0,0.0,0.0,n,,,,,106.35487765025168,0.0,106.35487765025168,4,0,n,315544.0,82971.0
32,2503447007,376,C. Corberan,l,2,30.0,17,82971.0,5.6,68.4,,,BallRecovery,Successful,82971.0,0.0,0.0,n,,,,,114.23238069829414,0.0,114.23238069829414,4,0,n,82971.0,82971.0
32,2503400201,24,C. Corberan,l,2,31.0,17,82971.0,4.8,66.8,40.1,91.2,Clearance,Successful,2.0,0.003,0.0,y,46.64118351843144,19.52000000000001,42.36,204.74082144774127,115.0278714051512,79.0765199031925,35.95135150195868,4,15,n,82971.0,D. Furlong
32,2503400183,37,C. Corberan,l,2,31.0,175,2.0,58.4,12.2,65.4,24.1,Pass,Successful,17.0,0.009,0.0,y,12.696078134605196,9.52,8.400000000000006,228.5763343749973,58.36492097141913,46.40289646132017,11.962024510098964,16,17,n,D. Furlong,J. Wallace
32,2503447111,455,C. Corberan,l,2,32.0,175,17.0,63.50000000000001,19.7,,,BallRecovery,Successful,17.0,0.0,0.0,n,,,,,50.06013983200607,0.0,50.06013983200607,16,0,n,J. Wallace,J. Wallace
32,2503400235,38,C. Corberan,l,2,33.0,175,17.0,63.3,21.8,74.7,6.5,Pass,Successful,22.0,0.0019999999999999,0.0,n,18.35647024893404,-12.240000000000002,13.680000000000009,138.17983011986425,49.48206947976206,46.18191853961894,3.30015094014312,16,21,n,J. Wallace,M. Albrighton
32,2503400253,39,C. Corberan,l,2,37.0,175,22.0,75.8,5.5,89.8,35.5,Pass,Unsuccessful,421912.0,0.0849999999999999,-0.005,y,29.295733477760884,24.0,16.799999999999997,235.0079798014413,45.94215493422136,16.863499043792785,29.07865589042858,21,27,n,M. Albrighton,421912.0
32,2503400313,25,C. Corberan,l,2,40.0,17,421912.0,12.2,57.3,38.5,69.0,Clearance,Successful,35.0,0.002,0.0,n,32.91873630624359,9.36,31.559999999999995,196.5191952401972,105.52172856810108,75.34905440680727,30.172674161293813,3,14,n,421912.0,O. Yokuşlu
32,2503400305,40,C. Corberan,l,2,41.0,175,35.0,65.7,28.6,79.3,26.2,Pass,Unsuccessful,365641.0,0.023,-0.004,y,16.432553057878735,-1.9200000000000017,16.319999999999993,173.29016319224306,44.578470139743466,31.297718766708865,13.2807513730346,17,22,n,O. Yokuşlu,365641.0
32,2503400349,26,C. Corberan,l,2,44.0,17,365641.0,21.2,76.2,32.7,83.3,Pass,Successful,315544.0,0.002,0.0,n,14.923216811398271,5.679999999999993,13.800000000000004,202.371781679878,96.8551247998783,85.04038569997198,11.81473909990632,9,15,n,365641.0,315544.0
32,2503400359,27,C. Corberan,l,2,45.0,17,315544.0,32.7,83.3,,,BallRecovery,Successful,315544.0,0.0,0.0,n,,,,,85.04038569997198,0.0,85.04038569997198,15,0,n,315544.0,315544.0
32,2503400397,28,C. Corberan,l,2,46.0,17,315544.0,32.1,90.0,26.7,90.6,Pass,Successful,82971.0,0.0,0.0,n,-6.497753457926828,0.480000000000004,-6.480000000000004,355.7636052009412,87.53850809786513,93.76519610175195,-6.226688003886835,10,10,n,315544.0,82971.0
32,2503400465,29,C. Corberan,l,2,48.0,17,82971.0,26.7,90.6,41.8,85.99999999999999,Pass,Successful,362815.0,0.003,0.0,n,18.48991076235902,-3.680000000000007,18.12,168.5199066106518,93.76519610175195,75.54512293986951,18.220073161882453,10,15,n,82971.0,362815.0
32,2503400521,30,C. Corberan,l,2,51.0,17,362815.0,42.1,81.2,,,Aerial,Successful,4.0,0.0,0.0,n,,,,,73.82731201933332,0.0,73.82731201933332,15,0,n,362815.0,D. O'Shea
32,2503400473,41,C. Corberan,l,2,51.0,175,4.0,57.89999999999999,18.8,,,Aerial,Unsuccessful,362815.0,0.0,0.0,n,,,,,56.349551905938,0.0,56.349551905938,16,0,n,D. O'Shea,362815.0
32,2503400535,31,C. Corberan,l,2,52.0,17,362815.0,41.7,85.99999999999999,35.2,93.0,Pass,Successful,315544.0,0.0,0.0,n,-9.602083107326246,5.6000000000000085,-7.799999999999997,324.32359177813794,75.6560744421755,85.02927495868701,-9.373200516511517,15,15,n,362815.0,315544.0
